ID;HexCode;Description;ContrastChk
183;#C3FDB8;Light Jade;0
184;#DBF9DB;Light Rose Green;0
185;#FFFFC2;Parchment;0
186;#FFFFCC;Cream;0
188;#F7E7CE;Champagne;0
190;#FED8B1;Light Orange;0
191;#FBE7A1;Golden Blonde;0
192;#F3E3C3;Golden Silk;0
193;#F0E2B6;Dark Blonde;0
195;#F3E5AB;Vanilla;0
196;#ECE5B6;Tan Brown;0
197;#EDDA74;Cardboard Brown;0
198;#EDE275;Harvest Gold;0
199;#FFE87C;Sun Yellow;0
200;#FFF380;Corn Yellow;0
201;#FAF884;Pastel Yellow;0
202;#FFFF33;Neon Yellow;1
203;#FFEF00;Canary Yellow;0
204;#F5E216;Banana Yellow;0
205;#FFDB58;Mustard Yellow;0
206;#FFDF00;Golden Yellow;0
207;#F9DB24;Bold Yellow;0
208;#FFD801;Rubber Ducky Yellow;0
209;#FDD017;Bright Gold;0
210;#EAC117;Golden Brown;0
211;#F6BE00;Deep Yellow;0
212;#F2BB66;Macaroni and Cheese;0
213;#FBB917;Saffron;0
214;#FBB117;Beer;0
215;#FFAE42;Yellow Orange or Orange Yellow;0
216;#FFA62F;Cantaloupe;0
217;#EE9A4D;Brown Sand;0
218;#E2A76F;Brown Sugar;0
219;#C19A6B;Camel Brown;0
220;#E6BF83;Deer Brown;0
221;#C8AD7F;Light French Beige;0
222;#C2B280;Sand;0
223;#BCB88A;Sage;0
224;#C8B560;Fall Leaf Brown;0
225;#C9BE62;Ginger Brown;0
226;#BAB86C;Olive Green;0
227;#B5A642;Brass;0
228;#C7A317;Cookie Brown;0
229;#D4AF37;Metallic Gold;0
230;#E9AB17;Bee Yellow;0
231;#E8A317;School Bus Yellow;0
232;#D4A017;Orange Gold;0
233;#C68E17;Caramel;0
234;#C58917;Cinnamon;0
235;#CD7F32;Bronze;0
236;#C88141;Tiger Orange;0
237;#B87333;Copper;0
238;#966F33;Wood;0
239;#806517;Oak Brown;0
240;#665D1E;Antique Bronze;0
241;#8E7618;Hazel;0
242;#8B8000;Dark Yellow;0
243;#827839;Dark Moccasin;0
244;#AF9B60;Bullet Shell;0
245;#827B60;Army Brown;0
246;#786D5F;Sandstone;0
247;#483C32;Taupe;0
248;#493D26;Mocha;0
249;#513B1C;Milk Chocolate;0
250;#3D3635;Gray Brown;0
251;#3B2F2F;Dark Coffee;0
252;#43302E;Old Burgundy;0
253;#49413F;Western Charcoal;0
254;#5C3317;Bakers Brown;0
255;#654321;Dark Brown;0
256;#704214;Sepia Brown;0
257;#6F4E37;Coffee;0
258;#835C3B;Brown Bear;1
259;#7F5217;Red Dirt;0
260;#7F462C;Sepia;0
261;#8A4117;Dark Sienna;0
262;#7E3817;Sangria;0
263;#7E3517;Blood Red;0
264;#954535;Chestnut;0
265;#C34A2C;Chestnut Red;0
266;#C04000;Mahogany;0
267;#C35817;Red Fox;0
268;#B86500;Dark Bisque;0
269;#B5651D;Light Brown;0
270;#C36241;Rust;0
271;#CB6D51;Copper Red;0
272;#C47451;Orange Salmon;0
273;#CC6600;Sedona;0
274;#E56717;Papaya Orange;0
275;#E66C2C;Halloween Orange;0
276;#FF6700;Neon Orange;0
277;#FF5F1F;Bright Orange;0
278;#F87217;Pumpkin Orange;0
279;#F88017;Carrot Orange;0
280;#F87431;Construction Cone Orange;0
281;#FF7722;Indian Saffron;0
282;#E67451;Sunrise Orange;0
283;#FF8040;Mango Orange;0
284;#F88158;Basket Ball Orange;0
285;#F9966B;Light Salmon Rose;0
286;#E78A61;Tangerine;0
287;#DA8A67;Light Copper;0
288;#F67280;Pastel Red;0
289;#E77471;Pink Coral;0
290;#F75D59;Bean Red;0
291;#E55451;Valentine Red;0
292;#E55B3C;Shocking Orange;0
293;#FD1C03;Neon Red;0
294;#FF2400;Scarlet;0
